"","sub","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","defaced","site"
"69",48,3.56683010212901,-1.36344389247425,1.25343694000406,1.85187625286333,2.89850967573757,1.06670180988201,1.03830398180337,-0.238966790102708,-0.240101676118514,0,0
"70",48,-0.518562611949936,-5.94845604968347,-1.24598158922155,0.343252732099773,-1.81382994478055,-0.484067730522897,-1.46482685295499,0.20298456529755,0.335652705644183,1,0
"71",49,-2.24052882241341,1.12104042341646,2.80563039688077,-2.94979338678188,4.24911393829778,-2.59495485638872,-0.453455225054655,0.463415293670654,2.87924775173879,0,0
"72",49,-0.944565597949287,-2.50685406510043,1.63805136926757,-2.59326629009033,-0.665973086260283,1.3461066416826,0.587965853245142,1.24880792455873,1.34276294420244,1,0
"73",50,1.36615347066758,-4.90979000037643,-0.0405533778856915,-3.45766954585099,-0.216393486553819,-0.385370281558599,0.221577228311694,2.81854583904785,0.399126698597521,0,1
"74",50,-0.62336262886654,-3.55244016756591,-0.0213414107803913,-2.01912248424958,0.479548601444336,-0.94741607895827,-0.73370253562963,0.832498040622075,1.68617461785171,1,1
"75",51,-0.532979879104649,-4.00658500716522,2.5429612480857,0.00127259026264599,-0.811361286474036,-0.821149177723866,-2.17063029794064,0.512676540224462,0.96606179149457,0,0
"76",51,-2.88602416465612,-0.603451999854165,1.18537502054743,-2.7258989443095,1.11730222796122,-0.456900959740265,0.127558945082925,-1.37080694646242,0.47760247454731,1,0
"77",52,0.351203517862229,-4.04095165749511,2.31464693606232,-2.36414916476707,-1.4344387313809,0.960878168503845,-0.194846001332471,0.913213919607642,0.983075279343987,0,0
"78",52,3.97428454200397,-3.15650923436933,1.36107651442588,2.23991240816415,0.90491866395546,1.10458713977353,2.20402576608108,1.97032477370516,0.756473908076435,1,0
"79",53,0.685273656644292,1.99664189830478,1.73949291291366,0.619509377884863,2.70211518915544,0.499923920746833,-0.103233470009023,-0.688116836983047,-0.36031248332813,0,1
"80",53,1.58093964306224,2.34122126029884,0.853297794405031,0.539642328988057,0.937935488623199,-0.390061813522861,1.2480648140309,-0.871594155192235,0.217110284960663,1,1
"81",54,2.79016872682053,-3.3520674810036,-0.995590706182041,1.46564156460425,1.28883598766565,1.03478720240848,-0.662500142263063,2.00491215912223,0.584405771318417,0,1
"82",54,3.25697373995121,-1.22566239425835,2.53563748364968,2.02764158850719,2.43558317075236,1.76663619094675,1.31088459555173,-1.32109027175625,-0.284681065826517,1,1
"83",55,4.3047901547818,-1.97830534707468,-0.133322198316301,1.81151566446523,2.17014358826925,-0.163199292360995,-0.0205360797729102,-0.414732541814285,0.818781707658152,0,1
"84",55,-0.756918656948989,-2.07498058667875,1.85572089148783,-4.09519572644752,0.895361920167263,0.039395424809071,1.15866979049534,-0.0469578778023435,-0.340263742074571,1,1
"85",56,1.28915673181051,-2.09515631795908,5.27188892914145,-0.742575707117294,-0.300999882673969,-0.643730093870386,0.260882628479069,-0.533180792247397,-0.19002882936822,0,0
"86",56,2.01351657095544,-4.78898816936862,2.73888628697482,-1.06403954602312,0.32720011102934,-2.22240062876375,1.57922884383069,-1.66597314616194,-2.91397126608912,1,0
"87",57,0.432951539302609,-2.3713745000782,4.41773297361743,0.0738326140105104,-1.82074012668906,1.29670131765673,0.833216231895683,-1.07042220525142,0.61488065087658,0,0
"88",57,1.98524065811179,-0.917222632508119,-0.460048627490806,0.193990377831152,2.71335603266832,0.49493863256783,1.16054524013429,1.00632451766268,1.11047963227385,1,0
